,C1: 143,C5: 123,C10: 104,C13: 73,C40: 18,C8: 17,C18: 62,C29: 60,C4: 18,C38: 7,C42: 24,C24: 8,C51: 5,C14: 29,C7: 15,C20: 15,C2: 16,C12: 14,C26: 26,C53: 5,C41: 6,C43: 4,C27: 7,C52: 6,C37: 53,C9: 3,C25: 3,C15: 4,C32: 3,C35: 2,C36: 5,C23: 5,C50: 4,C16: 4,C3: 3,C48: 3,C30: 3,C47: 46,C33: 2,C21: 2,C34: 2,C6: 2,C39: 2,C44: 2,C19: 2,C22: 1,C45: 1,C49: 1,C28: 1,C17: 8,C46: 8,C31: 7,C11: 5
C1: 143,0.0,6.628504395466626e-05,0.0005076374701075144,0.0022427213337792955,0.002792828654260102,0.002919719929365592,0.003185249134525335,0.003410893812849367,0.003736953930420428,0.003759836454058566,0.0038236359500694547,0.0038765232460142365,0.0038787235895465905,0.0039029640995884244,0.003937183008649582,0.003937183008649582,0.003941574242587462,0.004042379371536968,0.004051296712806427,0.004055833723472128,0.00415815830474797,0.004168680187787118,0.004180308140522393,0.004269664998291118,0.0043140629939866495,0.004425138387069485,0.004548528608162589,0.004596924443530278,0.004604571922940798,0.00494412449406869,0.00512028899248967,0.00515950455802227,0.0052144710154845356,0.005226361366465286,0.005243060144602213,0.005249708610154975,0.005257333513161498,0.0052624881855011536,0.00530970019378535,0.005310376380906086,0.0053111341705391855,0.005311414931987456,0.005315201891091276,0.005318925156408625,0.005323124603373249,0.005379760225961836,0.005379760225961836,0.005379760225961836,0.005379760225961836,0.009243844904898322,0.009326931722651352,0.009849710372598523,0.01002132578216205
Deviation,-,10%,25%,50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%
NodeOverlap,143,123,104,73,18,17,62,60,18,7,24,8,5,29,15,15,16,14,26,5,6,4,7,6,53,3,3,4,3,2,5,5,4,4,3,3,3,46,2,2,2,2,2,2,2,1,1,1,1,8,8,7,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C2: 16,C4: 18,C20: 15,C7: 15,C12: 14,C1: 143,C14: 29,C5: 123,C26: 26,C10: 104,C42: 24,C13: 73,C18: 62,C29: 60,C37: 53,C47: 46,C8: 17,C40: 18,C51: 5,C24: 8,C38: 7,C23: 5,C27: 7,C36: 5,C50: 4,C52: 6,C16: 4,C41: 6,C3: 3,C48: 3,C53: 5,C30: 3,C43: 4,C21: 2,C34: 2,C6: 2,C39: 2,C44: 2,C19: 2,C33: 2,C22: 1,C49: 1,C28: 1,C45: 1,C15: 4,C9: 3,C25: 3,C32: 3,C35: 2,C17: 8,C31: 7,C46: 8,C11: 5
C2: 16,0.0,0.000261147060868744,0.0007918175317969947,0.0007918175317969947,0.0010098935391874848,0.003941574242587462,0.0040938138466586295,0.0043624017645609815,0.00444112565810638,0.004661102901817461,0.0064293098162460345,0.006708055490407647,0.007473234553594,0.00778724506758919,0.00895725177696029,0.009561071766965029,0.010279743580943895,0.011229702252224928,0.013441885646552456,0.015191845460729544,0.015883542531622878,0.016138645729348734,0.01703340827971794,0.017496899284629306,0.020025884190782123,0.021807511981477453,0.022894925661155214,0.02569313292243179,0.02828708462830478,0.029786005838962213,0.03252475209809808,0.03493861005238938,0.03630517972327056,0.038478005364315705,0.038478503911763766,0.03848250999552198,0.03861589998259647,0.03880480058426217,0.039044272713036725,0.04093818646139085,0.04231842216350161,0.04231842216350161,0.04231842216350161,0.04231842216350161,0.043484175129718416,0.05301547391669973,0.058956770714982475,0.06281452888829712,0.08123282712854805,0.08526436365535868,0.09338509052939477,0.11720289460988552,0.12163804993578615
Deviation,-,10%,10%,10%,15%,25%,25%,25%,25%,25%,30%,30%,30%,35%,35%,35%,35%,40%,40%,45%,45%,45%,45%,50%,50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%
NodeOverlap,16,16,14,15,14,16,1,0,1,1,1,1,0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,5,0,0,5,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C3: 3,C34: 2,C6: 2,C8: 17,C40: 18,C1: 143,C5: 123,C21: 2,C10: 104,C13: 73,C18: 62,C29: 60,C43: 4,C37: 53,C47: 46,C53: 5,C38: 7,C48: 3,C36: 5,C9: 3,C25: 3,C26: 26,C33: 2,C39: 2,C30: 3,C52: 6,C14: 29,C42: 24,C32: 3,C4: 18,C24: 8,C2: 16,C20: 15,C7: 15,C12: 14,C27: 7,C23: 5,C50: 4,C41: 6,C15: 4,C51: 5,C16: 4,C17: 8,C11: 5,C31: 7,C44: 2,C19: 2,C46: 8,C35: 2,C45: 1,C28: 1,C49: 1,C22: 1
