C4: 18,0.0,0.00046725845186340565,0.0017491173570094384,0.0017491173570094384,0.002553164589305848,-,-,0.007156332485296581,0.008280115959872894,0.00906215320624902,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Deviation,-,10%,15%,15%,20%,,,35%,35%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NodeOverlap,18,16,15,15,14,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C5: 123,C1: 143,C10: 104,C13: 73,C18: 62,C29: 60,C37: 53,C47: 46,C14: 29,C26: 26,C42: 24,C4: 18,C2: 16,C7: 15,C20: 15,C40: 18,C12: 14,C8: 17,C27: 7,C24: 8,C17: 8,C52: 6,C31: 7,C38: 7,C46: 8,C41: 6,C11: 5,C15: 4,C53: 5,C51: 5,C25: 3,C9: 3,C43: 4,C32: 3,C36: 5,C35: 2,C23: 5,C16: 4,C50: 4,C30: 3,C48: 3,C3: 3,C19: 2,C44: 2,C39: 2,C6: 2,C34: 2,C21: 2,C33: 2,C28: 1,C45: 1,C49: 1,C22: 1
C5: 123,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Deviation,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NodeOverlap,123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6: 2,C34: 2,C21: 2,C39: 2,C33: 2,C44: 2,C3: 3,C32: 3,C19: 2,C9: 3,C25: 3,C35: 2,C48: 3,C30: 3,C43: 4,C15: 4,C11: 5,C53: 5,C50: 4,C16: 4,C36: 5,C51: 5,C23: 5,C52: 6,C41: 6,C31: 7,C38: 7,C17: 8,C27: 7,C24: 8,C28: 1,C22: 1,C45: 1,C49: 1,C46: 8,C12: 14,C20: 15,C7: 15,C2: 16,C8: 17,C40: 18,C4: 18,C42: 24,C26: 26,C14: 29,C47: 46,C37: 53,C29: 60,C18: 62,C13: 73,C10: 104,C5: 123,C1: 143
